Id,ActivityHour,TotalIntensity,AverageIntensity,StepTotal,StepTotal.1
1503960366,4/12/2016 0:00,20,0.333333,373,373
1503960366,4/12/2016 1:00,8,0.133333,160,160
1503960366,4/12/2016 2:00,7,0.116667,151,151
1503960366,4/12/2016 3:00,0,0,0,0
1503960366,4/12/2016 4:00,0,0,0,0
1503960366,4/12/2016 5:00,0,0,0,0
1503960366,4/12/2016 6:00,0,0,0,0
1503960366,4/12/2016 7:00,0,0,0,0
1503960366,4/12/2016 8:00,13,0.216667,250,250
1503960366,4/12/2016 9:00,30,0.5,1864,1864
1503960366,4/12/2016 10:00,29,0.483333,676,676
1503960366,4/12/2016 11:00,12,0.2,360,360
1503960366,4/12/2016 12:00,11,0.183333,253,253
1503960366,4/12/2016 13:00,6,0.1,221,221
1503960366,4/12/2016 14:00,36,0.6,1166,1166
1503960366,4/12/2016 15:00,58,0.966667,2063,2063
1503960366,4/12/2016 16:00,13,0.216667,344,344
1503960366,4/12/2016 17:00,16,0.266667,489,489
1503960366,4/12/2016 18:00,29,0.483333,1386,1386
1503960366,4/12/2016 19:00,39,0.65,558,558
1503960366,4/12/2016 20:00,41,0.683333,1733,1733
1503960366,4/12/2016 21:00,31,0.516667,684,684
1503960366,4/12/2016 22:00,9,0.15,89,89
1503960366,4/12/2016 23:00,21,0.35,338,338
1503960366,4/13/2016 0:00,14,0.233333,144,144
1503960366,4/13/2016 1:00,0,0,0,0
1503960366,4/13/2016 2:00,0,0,0,0
1503960366,4/13/2016 3:00,4,0.066667,36,36
1503960366,4/13/2016 4:00,0,0,0,0
1503960366,4/13/2016 5:00,0,0,0,0
1503960366,4/13/2016 6:00,0,0,0,0
1503960366,4/13/2016 7:00,8,0.133333,126,126
1503960366,4/13/2016 8:00,12,0.2,275,275
1503960366,4/13/2016 9:00,27,0.45,1679,1679
1503960366,4/13/2016 10:00,15,0.25,295,295
1503960366,4/13/2016 11:00,16,0.266667,524,524
1503960366,4/13/2016 12:00,15,0.25,486,486
1503960366,4/13/2016 13:00,10,0.166667,302,302
1503960366,4/13/2016 14:00,46,0.766667,1577,1577
1503960366,4/13/2016 15:00,13,0.216667,493,493
1503960366,4/13/2016 16:00,10,0.166667,299,299
1503960366,4/13/2016 17:00,23,0.383333,695,695
1503960366,4/13/2016 18:00,25,0.416667,1343,1343
1503960366,4/13/2016 19:00,13,0.216667,258,258
1503960366,4/13/2016 20:00,0,0,0,0
1503960366,4/13/2016 21:00,0,0,0,0
1503960366,4/13/2016 22:00,11,0.183333,437,437
1503960366,4/13/2016 23:00,56,0.933333,1766,1766
1503960366,4/14/2016 0:00,4,0.066667,81,81
1503960366,4/14/2016 1:00,3,0.05,58,58
1503960366,4/14/2016 2:00,0,0,0,0
1503960366,4/14/2016 3:00,0,0,0,0
1503960366,4/14/2016 4:00,0,0,0,0
1503960366,4/14/2016 5:00,0,0,0,0
1503960366,4/14/2016 6:00,0,0,0,0
1503960366,4/14/2016 7:00,0,0,0,0
1503960366,4/14/2016 8:00,0,0,0,0
1503960366,4/14/2016 9:00,14,0.233333,902,902
1503960366,4/14/2016 10:00,23,0.383333,1106,1106
1503960366,4/14/2016 11:00,7,0.116667,50,50
1503960366,4/14/2016 12:00,18,0.3,501,501
1503960366,4/14/2016 13:00,54,0.9,1779,1779
1503960366,4/14/2016 14:00,22,0.366667,1228,1228
1503960366,4/14/2016 15:00,7,0.116667,139,139
1503960366,4/14/2016 16:00,25,0.416667,408,408
1503960366,4/14/2016 17:00,5,0.083333,37,37
1503960366,4/14/2016 18:00,12,0.2,322,322
1503960366,4/14/2016 19:00,1,0.016667,11,11
1503960366,4/14/2016 20:00,24,0.4,806,806
1503960366,4/14/2016 21:00,57,0.95,2670,2670
1503960366,4/14/2016 22:00,17,0.283333,362,362
1503960366,4/14/2016 23:00,0,0,0,0
1503960366,4/15/2016 0:00,6,0.1,83,83
1503960366,4/15/2016 1:00,5,0.083333,75,75
1503960366,4/15/2016 2:00,7,0.116667,124,124
1503960366,4/15/2016 3:00,0,0,0,0
1503960366,4/15/2016 4:00,0,0,0,0
1503960366,4/15/2016 5:00,1,0.016667,26,26
1503960366,4/15/2016 6:00,0,0,0,0
1503960366,4/15/2016 7:00,1,0.016667,7,7
1503960366,4/15/2016 8:00,5,0.083333,55,55
